Sacramento Police Department, CA,17
Orange County Sheriff's Office, FL,17
Beaumont Police Department, TX,17
Augusta Police Department, GA,17
Pennsylvania Railroad Police Department, RR,17
Oklahoma Department of Corrections, OK,17
United States Air Force Security Forces, US,17
United States Air Force Office of Special Investigations, US,17
King County Sheriff's Office, WA,16
Kansas City Police Department, KS,16
Southern Pacific Railroad Police Department, RR,16
Colorado Department of Corrections, CO,16
Letcher County Sheriff's Department, KY,16
Yonkers Police Department, NY,16
Springfield Police Department, MA,16
California Department of Fish and Wildlife, CA,16
Polk County Sheriff's Office, FL,16
Utah Highway Patrol, UT,16
United States Department of the Treasury - Internal Revenue Service - Alcohol and Tobacco Tax Division, US,16
Greenville County Sheriff's Office, SC,15
Knoxville Police Department, TN,15
Rochester Police Department, NY,15
Cochise County Sheriff's Department, AZ,15
South Bend Police Department, IN,15
Maine Department of Inland Fisheries and Wildlife - Warden Service, ME,15
Albuquerque Police Department, NM,15
Roanoke City Police Department, VA,15
Grand Rapids Police Department, MI,15
Minnesota Department of Natural Resources - Enforcement Division, MN,15
Chicago and Northwestern Railroad Police Department, RR,15
Shelby County Sheriff's Office, TN,15
St. Petersburg Police Department, FL,15
Virginia Department of Corrections, VA,15
Anniston Police Department, AL,15
Riverside Police Department, CA,15
North Carolina Department of Public Safety - Division of Prisons, NC,15
Las Vegas Metropolitan Police Department, NV,15
Massachusetts Department of Correction, MA,14
United States Army Criminal Investigation Division, US,14
Hillsborough County Sheriff's Office, FL,14
Orlando Police Department, FL,14
Spokane Police Department, WA,14
Tulare County Sheriff's Office, CA,14
Pensacola Police Department, FL,14
Peoria Police Department, IL,14
San Bernardino County Sheriff's Department, CA,14
Perry County Sheriff's Office, KY,14
Pennsylvania Department of Corrections, PA,13
Michigan Department of Corrections, MI,13
Colorado Springs Police Department, CO,13
Illinois Department of Conservation - Division of Law Enforcement, IL,13
Fresno Police Department, CA,13
United States Postal Inspection Service, US,13
Milwaukee County Sheriff's Office, WI,13
Pike County Sheriff's Department, KY,13
St. Joseph Police Department, MO,13
Palm Beach County Sheriff's Office, FL,13
Wisconsin Department of Natural Resources, WI,13
United States Department of the Interior - United States Park Police, US,13
San Jose Police Department, CA,13
Amarillo Police Department, TX,13
Chicago Park District Police Department, IL,13
Fort Lauderdale Police Department, FL,13
Marion County Sheriff's Department, IN,13
New York City Transit Police Department, NY,13
Virgin Islands Police Department, VI,13
Stockton Police Department, CA,12
New York Municipal Police Department, NY,12
Youngstown Police Department, OH,12
Butte Police Department, MT,12
Tennessee Department of Correction, TN,12
Greenville Police Department, SC,12
Reno Police Department, NV,12
