('Lawrenceville', 16)
('Newport News', 16)
('Davenport', 16)
('Bellevue', 16)
('Austell', 16)
('Meridian', 16)
('Lynwood', 16)
('East St. Louis', 16)
('Lebanon', 16)
('Norman', 16)
('Wichita Falls', 16)
('Hartford', 16)
('Ventura', 16)
('St. Joseph', 16)
('Georgetown', 16)
('Federal Way', 16)
('Staten Island', 15)
('Portsmouth', 15)
('Huntington Beach', 15)
('Bedford', 15)
('North Little Rock', 15)
('Mission', 15)
('New Castle', 15)
('Cartersville', 15)
('Sparta', 15)
('Victorville', 15)
('Troy', 15)
('Rialto', 15)
('Norcross', 15)
('Joplin', 15)
('Bristol', 15)
('Fairbanks', 15)
('Indio', 15)
('Frederick', 15)
('Van Nuys', 15)
('El Monte', 15)
('Bridgeton', 15)
('Salisbury', 15)
('Homestead', 14)
('College Park', 14)
('Abilene', 14)
('Boynton Beach', 14)
('Bellflower', 14)
('Ashland', 14)
('Tulare', 14)
('Sunnyvale', 14)
('League City', 14)
('Hammond', 14)
('Perris', 14)
('Merced', 14)
('Belleville', 14)
('Englewood', 14)
('Dover', 14)
('Nampa', 14)
('Maryville', 14)
('Summerville', 14)
('Gulfport', 14)
('Union', 14)
('San Angelo', 14)
('Carrollton', 14)
('Daytona Beach', 14)
('Roswell', 14)
('Miami Beach', 14)
('Thornton', 14)
('Ocala', 14)
('Brandon', 13)
('Colton', 13)
('Sanford', 13)
('Elizabeth', 13)
('Elkton', 13)
('Duluth', 13)
('Harvey', 13)
('Waukesha', 13)
('Joliet', 13)
('Winston-Salem', 13)
('New Haven', 13)
('Phenix City', 13)
('Brunswick', 13)
('Spring Hill', 13)
('Shelbyville', 13)
('Casper', 13)
('Lawrence', 13)
('Newton', 13)
('Grand Junction', 13)
('Idaho Falls', 13)
('Flagstaff', 13)
('St. Augustine', 13)
('Hot Springs', 13)
('Fredericksburg', 13)
('Fort Pierce', 13)
('Baytown', 13)
('Hawthorne', 13)
('Elk Grove', 13)
('Lake Worth', 13)
('Miami Gardens', 13)
('Bethlehem', 13)
('Rock Hill', 13)
('San Marcos', 13)
("O'Fallon", 13)
('Lake City', 13)
('Cheyenne', 13)
('Fullerton', 13)
('Selma', 12)
('Dolton', 12)
('Milton', 12)
('Chico', 12)
('Azusa', 12)
('Boca Raton', 12)
('Marysville', 12)
('Killeen', 12)
('Sierra Vista', 12)
('Carthage', 12)
('Yuma', 12)
('Waukegan', 12)
('Lansing', 12)
('Port St. Lucie', 12)
('Ozark', 12)
('Carson', 12)
('Hillsboro', 12)
('Morgantown', 12)
('Longmont', 12)
('Gilroy', 12)
('West Covina', 12)
('Houma', 12)
('Evans', 12)
('Bridgeport', 12)
('Santa Maria', 12)
